gameId,playId,playDescription,specialTeamsResult,punt_dist_use,actual_return_yards,faircatch_return_yards,wp_post_actual_return_team,wp_post_faircatch_return_team,delta_wp_return_team
2018090600,366,"(9:20) C.Johnston punts 56 yards to ATL 36, Center-R.Lovato. J.Hardy to ATL 41 for 5 yards (K.Grugier-Hill). PENALTY on PHI-S.Gibson, Unsportsmanlike Conduct, 15 yards, enforced at ATL 41.",Return,56,5,0,0.48011788725852966,0.454899400472641,0.025218486785888672
2018090600,872,"(:33) C.Johnston punts 65 yards to end zone, Center-R.Lovato, Touchback.",Touchback,65,NA,0,0.538331925868988,0.538331925868988,0
2018090600,1850,"(1:30) C.Johnston punts 58 yards to ATL 11, Center-R.Lovato, downed by PHI-A.Maddox.",Downed,58,NA,0,0.5323253273963928,0.5478953123092651,-0.015569984912872314
2018090600,1989,"(:44) M.Bosher punts 57 yards to PHI 17, Center-J.Overbaugh. D.Sproles to PHI 25 for 8 yards (B.Poole). PENALTY on PHI-L.Reynolds, Unnecessary Roughness, 12 yards, enforced at PHI 25.",Return,57,8,0,0.46822643280029297,0.4099178612232208,0.058308571577072144
2018090600,2599,"(10:22) M.Bosher punts 46 yards to PHI 28, Center-J.Overbaugh. D.Sproles to PHI 37 for 9 yards (F.Oluokun).",Return,46,9,0,0.4715103209018707,0.4471333622932434,0.02437695860862732
2018090600,3026,"(2:44) M.Bosher punts 44 yards to PHI 16, Center-J.Overbaugh, downed by ATL-R.Ortiz.",Downed,44,NA,0,0.7293432354927063,0.733627438545227,-0.004284203052520752
2018090600,3225,"(:34) M.Bosher punts 38 yards to PHI 32, Center-J.Overbaugh. T.Sullivan MUFFS catch, touched at PHI 32, RECOVERED by ATL-K.Ishmael at PHI 32. K.Ishmael to PHI 32 for no gain (L.Reynolds).",Muffed,38,NA,0,0.5850034952163696,0.7501243948936462,-0.1651208996772766
2018090600,3736,"(7:42) C.Johnston punts 46 yards to ATL 33, Center-R.Lovato, out of bounds.",Out of Bounds,46,NA,0,0.7128340601921082,0.7128340601921082,0
2018090600,3868,"(5:04) M.Bosher punts 52 yards to PHI 19, Center-J.Overbaugh. D.Sproles to PHI 31 for 12 yards (E.Saubert; K.Ishmael). PENALTY on ATL-E.Saubert, Face Mask (15 Yards), 15 yards, enforced at PHI 31.",Return,52,12,0,0.5140007138252258,0.43648794293403625,0.07751277089118958
2018090900,485,"(7:25) (Punt formation) C.Bojorquez punts 46 yards to BAL 26, Center-R.Ferguson. J.Grant to BAL 25 for -1 yards (P.DiMarco).",Return,46,-1,0,0.74631267786026,0.74631267786026,0
2018090900,575,"(6:37) (Punt formation) S.Koch punts 63 yards to BUF 11, Center-M.Cox. J.Kerley to BUF 15 for 4 yards (T.Bowser, C.Clark).",Return,63,4,0,0.28597506880760193,0.23566876351833344,0.050306305289268494
2018090900,674,"(5:43) (Punt formation) C.Bojorquez punts 51 yards to BAL 31, Center-R.Ferguson. J.Grant to BAL 34 for 3 yards (L.Alexander).",Return,51,3,0,0.7724215984344482,0.753176212310791,0.019245386123657227
2018090900,1136,"(14:21) (Punt formation) C.Bojorquez punts 49 yards to BAL 29, Center-R.Ferguson. J.Grant to BUF 20 for 51 yards (L.Alexander).",Return,49,51,0,0.9202843308448792,0.8892360329627991,0.031048297882080078
2018090900,1360,"(12:09) (Punt formation) C.Bojorquez punts 50 yards to BAL 29, Center-R.Ferguson. J.Grant to BAL 30 for 1 yard (A.Holmes).",Return,50,1,0,0.911827027797699,0.9120262861251831,-1.9925832748413086e-4
2018090900,1772,"(7:05) (Punt formation) S.Koch punts 44 yards to BUF 16, Center-M.Cox, downed by BAL-C.Clark.",Downed,44,NA,0,0.10327000170946121,0.0869160145521164,0.016353987157344818
2018090900,2097,"(3:01) (Punt formation) C.Bojorquez punts 52 yards to BAL 21, Center-R.Ferguson. J.Grant MUFFS catch, ball out of bounds at BAL 15.",Muffed,58,NA,0,0.9564400911331177,0.958082377910614,-0.0016422867774963379
2018090900,2616,"(13:57) (Punt formation) C.Bojorquez FUMBLES (Aborted) at BUF 27, and recovers at BUF 14. C.Bojorquez to BUF 14 for no gain (T.Bowser).",Non-Special Teams Result,NA,NA,0,0.9981322884559631,0.9980833530426025,4.89354133605957e-5
