gameId,playId,playDescription,specialTeamsPlayType,specialTeamsResult,kickLength,kickReturnYardage,playResult,quarter,down,ydstogo,possessionTeam,absoluteYardlineNumber,gameClock,preSnapHomeScore,preSnapVisitorScore,kickerId,returnerId,kickBlockerId,season,week,gameDate,home_team,away_team,kickerName,kickerPos,height.x,weight.x,birthDate.x,collegeName.x,returnerName,returnerPos,height.y,weight.y,birthDate.y,collegeName.y,blockerName,blockerPos,height,weight,birthDate,collegeName,spread_line,posteam_timeouts_remaining,defteam_timeouts_remaining,wp,wpa,home_wp_post,away_wp_post,posteam,defteam,wp_pre,wp_post,wpa_play,score_differential,yardline_100,game_seconds_remaining,half_seconds_remaining
2018090600,366,"(9:20) C.Johnston punts 56 yards to ATL 36, Center-R.Lovato. J.Hardy to ATL 41 for 5 yards (K.Grugier-Hill). PENALTY on PHI-S.Gibson, Unsportsmanlike Conduct, 15 yards, enforced at ATL 41.",Punt,Return,56,5,36,1,4,4,PHI,18,09:20:00,0,0,45603,42450,NA,2018,1,9-06-20,PHI,ATL,Cameron Johnston,P,5-11,194,1992-02-24,Ohio State,Justin Hardy,WR,5-10,192,1991-12-18,East Carolina,NA,NA,NA,NA,NA,NA,1,3,3,0.4933922588825226,0.026489853858947754,0.5198821127414703,0.48011788725852966,PHI,ATL,0.4933922588825226,0.5198821127414703,0.026489853858947754,0,82,NA,NA
2018090600,872,"(:33) C.Johnston punts 65 yards to end zone, Center-R.Lovato, Touchback.",Punt,Touchback,65,NA,45,1,4,18,PHI,45,00:33:00,0,3,45603,NA,NA,2018,1,9-06-20,PHI,ATL,Cameron Johnston,P,5-11,194,1992-02-24,Ohio State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,0.4626486301422119,-9.805560111999512e-4,0.46166807413101196,0.538331925868988,PHI,ATL,0.4626486301422119,0.46166807413101196,-9.805560111999512e-4,-3,55,NA,NA
2018090600,973,"(14:18) M.Bosher punts 49 yards to PHI 40, Center-J.Overbaugh, fair catch by D.Sproles.",Punt,Fair Catch,49,NA,49,2,4,19,ATL,21,14:18:00,0,3,37267,29957,NA,2018,1,9-06-20,PHI,ATL,Matt Bosher,P,72,208,1987-10-18,Miami (Fla.),Darren Sproles,RB,66,190,1983-06-20,Kansas State,NA,NA,NA,NA,NA,NA,1,3,2,0.4383581876754761,0.03795599937438965,0.5236858129501343,0.4763141870498657,ATL,PHI,0.4383581876754761,0.4763141870498657,0.03795599937438965,3,21,NA,NA
2018090600,1850,"(1:30) C.Johnston punts 58 yards to ATL 11, Center-R.Lovato, downed by PHI-A.Maddox.",Punt,Downed,58,NA,58,2,4,8,PHI,79,01:30:00,3,6,45603,NA,NA,2018,1,9-06-20,PHI,ATL,Cameron Johnston,P,5-11,194,1992-02-24,Ohio State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,0.4099385738372803,0.057736098766326904,0.4676746726036072,0.5323253273963928,PHI,ATL,0.4099385738372803,0.4676746726036072,0.057736098766326904,-3,21,NA,NA
2018090600,1989,"(:44) M.Bosher punts 57 yards to PHI 17, Center-J.Overbaugh. D.Sproles to PHI 25 for 8 yards (B.Poole). PENALTY on PHI-L.Reynolds, Unnecessary Roughness, 12 yards, enforced at PHI 25.",Punt,Return,57,8,61,2,4,8,ATL,36,00:44:00,3,6,37267,29957,NA,2018,1,9-06-20,PHI,ATL,Matt Bosher,P,72,208,1987-10-18,Miami (Fla.),Darren Sproles,RB,66,190,1983-06-20,Kansas State,NA,NA,NA,NA,NA,NA,1,2,2,0.4883870780467987,0.043386489152908325,0.46822643280029297,0.531773567199707,ATL,PHI,0.4883870780467987,0.531773567199707,0.043386489152908325,3,36,NA,NA
2018090600,2406,"(12:33) C.Johnston punts 38 yards to ATL 20, Center-R.Lovato, fair catch by J.Hardy.",Punt,Fair Catch,38,NA,38,3,4,9,PHI,68,12:33:00,3,6,45603,42450,NA,2018,1,9-06-20,PHI,ATL,Cameron Johnston,P,5-11,194,1992-02-24,Ohio State,Justin Hardy,WR,5-10,192,1991-12-18,East Carolina,NA,NA,NA,NA,NA,NA,1,3,3,0.3869311511516571,0.03584596514701843,0.42277711629867554,0.5772228837013245,PHI,ATL,0.3869311511516571,0.42277711629867554,0.03584596514701843,-3,32,NA,NA
2018090600,2599,"(10:22) M.Bosher punts 46 yards to PHI 28, Center-J.Overbaugh. D.Sproles to PHI 37 for 9 yards (F.Oluokun).",Punt,Return,46,9,37,3,4,16,ATL,36,10:22:00,3,6,37267,29957,NA,2018,1,9-06-20,PHI,ATL,Matt Bosher,P,72,208,1987-10-18,Miami (Fla.),Darren Sproles,RB,66,190,1983-06-20,Kansas State,NA,NA,NA,NA,NA,NA,1,2,3,0.4853144586086273,0.04317522048950195,0.4715103209018707,0.5284896790981293,ATL,PHI,0.4853144586086273,0.5284896790981293,0.04317522048950195,3,36,NA,NA
2018090600,3026,"(2:44) M.Bosher punts 44 yards to PHI 16, Center-J.Overbaugh, downed by ATL-R.Ortiz.",Punt,Downed,44,NA,44,3,4,10,ATL,50,02:44:00,10,6,37267,NA,NA,2018,1,9-06-20,PHI,ATL,Matt Bosher,P,72,208,1987-10-18,Miami (Fla.),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,0.257998526096344,0.012658238410949707,0.7293432354927063,0.2706567645072937,ATL,PHI,0.257998526096344,0.2706567645072937,0.012658238410949707,-4,50,NA,NA
2018090600,3225,"(:34) M.Bosher punts 38 yards to PHI 32, Center-J.Overbaugh. T.Sullivan MUFFS catch, touched at PHI 32, RECOVERED by ATL-K.Ishmael at PHI 32. K.Ishmael to PHI 32 for no gain (L.Reynolds).",Punt,Muffed,38,NA,38,3,4,6,ATL,40,00:34:00,10,6,37267,45605,NA,2018,1,9-06-20,PHI,ATL,Matt Bosher,P,72,208,1987-10-18,Miami (Fla.),Tre Sullivan,DB,6-0,200,12/21/1993,Shepherd,NA,NA,NA,NA,NA,NA,1,2,3,0.23567822575569153,0.17931827902793884,0.5850034952163696,0.41499650478363037,ATL,PHI,0.23567822575569153,0.41499650478363037,0.17931827902793884,-4,40,NA,NA
2018090600,3736,"(7:42) C.Johnston punts 46 yards to ATL 33, Center-R.Lovato, out of bounds.",Punt,Out of Bounds,46,NA,46,4,4,14,PHI,31,07:42:00,10,12,45603,NA,NA,2018,1,9-06-20,PHI,ATL,Cameron Johnston,P,5-11,194,1992-02-24,Ohio State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,0.32499638199806213,-0.03783044219017029,0.28716593980789185,0.7128340601921082,PHI,ATL,0.32499638199806213,0.28716593980789185,-0.03783044219017029,-2,69,NA,NA
