gameId,playId,punt_distance,punt_direction,kick_type,kick_contact_type,hang_time,furthest_blocker_dist,closest_gunner_dist
2018090600,1989,57,C,N,CC,4.62,35.15116641023452,11.032955179823768
2018090600,2406,38,C,N,CC,4.69,35.51895972575774,1.234706442843808
2018090600,2599,46,L,N,CC,4.16,43.18628717544493,5.008193287004797
2018090600,3225,38,L,N,MBC,4.08,30.120698863074214,4.458519933789686
2018090600,366,56,C,N,CC,4.46,51.37131495299687,20.51315919111437
2018090600,3868,52,C,N,CC,4.4,55.22939887415034,5.005486989294851
2018090600,973,49,L,N,CC,4.98,67.57654992673123,1.9334166648707702
2018090900,1136,49,C,N,CC,3.62,54.8149468667078,11.773941566017724
2018090900,1360,50,C,N,CC,4.52,42.01980604429298,4.843325303962157
2018090900,2097,58,C,N,MBDR,4.67,34.04474261908878,2.658495815306083
2018090900,3079,46,C,N,CC,4.06,35.77050460924476,16.55235632772567
2018090900,3655,50,L,N,CC,4.07,36.34024353248063,14.076285021268925
2018090900,3851,54,R,N,CFFG,3.23,57.158189264531465,11.651956917187773
2018090900,4325,43,R,A,CC,3.8,49.98092636196332,5.650079645456335
2018090900,485,46,R,N,CC,4.34,37.59665543635498,7.960226127441352
2018090900,575,63,L,A,CFFG,4.2,59.17649279908366,24.183475763421608
2018090900,674,51,C,N,CC,4.78,50.37685976715896,5.479598525439616
2018090901,1491,39,L,A,CC,3.92,48.78708538127688,5.481788029466295
2018090901,2632,45,C,N,CC,3.86,49.19700194117522,14.240621475202548
2018090901,2907,33,L,A,CC,4.22,37.70892865091767,9.03168865716705
2018090901,3215,22,L,A,CC,4.08,27.87132217889923,2.971363323459452
2018090901,4136,51,C,N,CC,4.1,40.20651688470416,12.615173403485185
2018090901,4352,39,C,N,CC,4.81,33.909333523382614,1.1301769772916122
2018090901,4648,49,R,N,CC,4.34,60.54450346645846,3.7306567786383127
2018090901,4833,53,C,N,CC,4.98,41.74911975119954,13.222000605052171
2018090901,588,47,C,N,CC,4.02,50.907391408321054,5.262090839200705
2018090901,887,52,C,N,CC,4.77,58.57024671281486,9.574157926418385
2018090902,2228,49,L,N,CC,4.14,43.58795361106093,6.611278242518609
2018090902,3547,46,C,N,CC,5.08,37.000670264199265,2.1219095173922935
2018090903,1844,55,R,N,CC,4.09,63.44403596871813,28.942302949143492
2018090903,1993,45,C,N,CC,3.4,43.86929905982087,22.521500838088038
2018090903,2094,35,L,A,CC,4.12,44.178982559583694,5.375323246094141
2018090903,2176,65,C,N,CC,4.57,50.709451781694504,18.991727146312943
2018090903,3163,49,R,N,CC,4.4,49.29466705435792,2.956568957423454
2018090905,1555,47,C,N,CC,4.18,35.663237374080325,12.515989773086261
2018090905,2393,42,L,N,CC,4.55,48.66180843330836,8.705544210444284
2018090905,3669,37,C,A,CC,4.1,41.38967262494354,1.7893294833540334
2018090905,3749,55,C,N,CC,4.53,52.57836532263055,18.346664546996003
2018090905,3844,48,C,N,MBDR,4.44,37.51772514425681,4.179294198785251
2018090905,497,40,C,A,CC,4,34.242946718996016,4.214451328464948
2018090906,1373,56,C,N,CC,4.77,44.38395768743477,4.96326505437701
2018090906,2681,42,R,N,CC,3.83,41.143927863051665,3.721625988731267
2018090906,2776,42,C,N,CC,4.46,46.808823954463975,3.682662080615054
2018090906,2947,58,L,N,CC,4.59,54.62986088212197,4.757320674497358
2018090907,2708,55,R,N,CC,4.34,50.17026709117662,12.559060474414489
2018090907,3215,36,C,N,CC,4.19,29.164822989347968,5.740679402300738
2018090907,3497,44,C,N,CC,4.16,46.70531554330835,6.872153956366234
2018090907,3618,54,C,N,CC,4.14,58.934383851873775,8.690138088661193
2018090907,3801,47,R,N,CC,4.84,35.28621402190947,2.3272301132462214
2018090907,4113,41,C,N,MBDR,3.87,44.676920216147394,2.9828342226815088
2018090909,1416,56,L,N,CC,4.71,54.33212401517173,3.9585477134929152
2018090909,1990,33,L,A,CC,4.13,33.156249787935906,4.27168584987239
2018090909,2106,55,C,N,CC,4.58,43.95109327422926,17.867988135209853
2018090909,2247,57,R,N,CC,4.47,42.94931431350214,18.34601046549358
2018090909,2663,34,C,A,CC,4.35,33.400887712753985,2.319353358158266
2018090909,309,38,C,A,CC,4.41,37.04861265958551,5.738640954093575
2018090909,3706,59,C,N,CC,4.57,44.235046060787596,13.403081735183148
2018090909,918,57,C,N,CC,4.24,46.25480731772644,14.66094812759393
2018090910,1047,51,C,N,BC,4.77,31.27936220577395,15.743204883377466
2018090910,1329,49,R,N,CC,4.79,36.85388446283512,13.19601833887783
2018090910,1448,50,L,N,CC,4.86,50.124983790521064,2.7402919552485665
2018090910,1582,56,R,N,CC,4.66,46.634931113919315,20.00152494186381
2018090910,172,55,L,N,CC,4.44,49.361597421477356,5.820420946976252
2018090910,2269,50,L,N,CC,4.79,37.71160166314871,4.577510240294392
2018090910,2467,31,C,A,CC,4.53,39.23878183634145,3.747866059506395
2018090910,2550,50,C,N,CC,4.68,35.61357606306898,6.822939249326495
2018090910,3477,52,R,N,CC,4.59,46.2924885915631,12.518378489245325
2018090910,700,51,L,N,CC,5.11,36.52701192268538,9.542588747294937
2018090910,966,33,C,A,CC,4.37,34.0798180746318,3.3572607882021805
2018090912,1055,63,C,N,CC,4.65,41.35188508399587,11.30557384655904
2018090912,1149,58,C,N,CC,4.86,50.5016633389436,13.49954073292866
2018090912,1577,49,L,N,CC,4.86,41.54230855405125,2.2256909039666692
2018090912,2562,48,C,N,CC,5.05,47.12064727908563,1.6673631877908364
2018090912,2892,41,C,N,CC,4.05,37.902955029918175,2.0354115063053007
2018090912,583,44,C,N,CC,4.32,42.61357999511424,5.461300211488105
2018090912,943,51,R,N,CC,4.58,53.61621489810708,5.278370960817361
2018091000,1545,45,C,N,CC,4.24,40.38208142233385,4.491647804536771
2018091000,2626,52,R,N,CC,4.08,45.60500520776202,6.94447262216506
2018091000,349,40,L,A,BC,4.48,28.518739453208656,5.064632267006163
2018091000,469,55,R,N,CC,4.65,42.41245571763088,17.853809117384447
2018091001,2597,45,C,N,CC,4.52,49.456939856808766,6.490747260524011
2018091001,2840,35,C,N,CFFG,4.52,25.49946666108921,6.818401572216171
2018091001,3121,43,L,N,CC,4.61,44.57453308785185,8.570705921917984
2018091001,384,62,C,N,CC,4.26,49.56109865610326,11.001690779148449
2018091001,499,55,L,N,CC,4.58,52.32084479440293,15.157922021174281
2018091300,1023,59,C,N,CC,4.87,41.51647865607101,17.431939077452057
2018091300,122,60,R,N,MBDR,4.06,55.62590943076796,12.605256839906117
2018091300,2465,43,R,N,CC,4.17,52.61365317101636,6.491918052471076
2018091300,304,55,C,N,CC,5.06,44.44632830729666,12.277011036893303
2018091300,3261,44,R,N,CC,4.94,44.98973327327026,1.8094474294656921
2018091300,3854,37,R,N,CC,4.24,39.01062034882296,3.730656778638314
2018091600,2116,48,C,N,CC,4.56,32.59736492417753,8.368159893309883
2018091600,2551,37,R,A,CC,4.36,44.27131125232231,6.576093065034886
2018091600,3830,54,C,N,CC,4.82,33.99959558583013,2.834237110758375
2018091600,773,39,C,N,CC,3.95,42.24262894281083,1.2984991336154232
2018091601,121,52,L,N,CC,4.52,41.759255261558486,1.3532553343696834
2018091601,1289,50,C,N,CC,4.88,50.94698813472685,7.717460722284241
